agent_id,agent_code,agent_name,region,territory,office,join_date,channel,active_flag
145,AGT00145,Asha Verma,South,T-S2,T-S2-O2,2021-01-13,tied_agency,0
146,AGT00146,Sheetal Nair,South,T-S2,T-S2-O2,2020-03-09,bancassurance,1
147,AGT00147,Nitin Nair,South,T-S2,T-S2-O2,2021-05-09,tied_agency,1
148,AGT00148,Amit Joshi,South,T-S2,T-S2-O2,2020-01-09,bancassurance,1
149,AGT00149,Pooja Rao,South,T-S2,T-S2-O2,2020-03-07,bancassurance,1
150,AGT00150,Amit Reddy,South,T-S2,T-S2-O2,2020-05-29,tied_agency,1
151,AGT00151,Shweta Menon,South,T-S2,T-S2-O3,2019-01-16,bancassurance,1
152,AGT00152,Anjali Das,South,T-S2,T-S2-O3,2020-04-07,bancassurance,1
153,AGT00153,Arun Reddy,South,T-S2,T-S2-O3,2020-12-12,bancassurance,1
154,AGT00154,Rajesh Verma,South,T-S2,T-S2-O3,2021-08-17,tied_agency,1
155,AGT00155,Nitin Gupta,South,T-S2,T-S2-O3,2019-12-01,tied_agency,1
156,AGT00156,Arun Menon,South,T-S2,T-S2-O3,2021-09-15,bancassurance,1
157,AGT00157,Kavita Joshi,South,T-S2,T-S2-O3,2022-05-11,bancassurance,1
158,AGT00158,Nitin Bose,South,T-S2,T-S2-O3,2021-11-30,tied_agency,1
159,AGT00159,Priya Bose,South,T-S2,T-S2-O3,2021-05-20,bancassurance,0
160,AGT00160,Dinesh Rao,South,T-S3,T-S3-O1,2022-03-19,tied_agency,1
161,AGT00161,Swati Rao,South,T-S3,T-S3-O1,2022-11-07,bancassurance,1
162,AGT00162,Priya Nair,South,T-S3,T-S3-O1,2021-01-04,bancassurance,1
163,AGT00163,Deepak Rao,South,T-S3,T-S3-O1,2022-04-13,tied_agency,1
164,AGT00164,Priya Mehta,South,T-S3,T-S3-O1,2019-09-08,tied_agency,1
165,AGT00165,Amit Joshi,South,T-S3,T-S3-O1,2019-10-07,tied_agency,1
166,AGT00166,Rekha Chauhan,South,T-S3,T-S3-O1,2019-10-17,tied_agency,1
167,AGT00167,Jyoti Iyer,South,T-S3,T-S3-O1,2019-12-28,bancassurance,1
168,AGT00168,Kavita Menon,South,T-S3,T-S3-O1,2019-08-15,tied_agency,1
169,AGT00169,Sunita Shah,South,T-S3,T-S3-O1,2019-07-03,tied_agency,1
170,AGT00170,Neha Joshi,South,T-S3,T-S3-O1,2021-06-09,tied_agency,1
171,AGT00171,Meena Iyer,South,T-S3,T-S3-O2,2022-07-02,bancassurance,1
172,AGT00172,Kavita Reddy,South,T-S3,T-S3-O2,2021-04-15,bancassurance,0
173,AGT00173,Jyoti Nair,South,T-S3,T-S3-O2,2022-07-10,tied_agency,1
174,AGT00174,Pooja Mehta,South,T-S3,T-S3-O2,2020-07-15,bancassurance,1
175,AGT00175,Neha Reddy,South,T-S3,T-S3-O2,2022-02-14,bancassurance,0
176,AGT00176,Nitin Reddy,South,T-S3,T-S3-O2,2020-06-16,bancassurance,1
177,AGT00177,Swati Iyer,South,T-S3,T-S3-O2,2021-05-24,tied_agency,1
178,AGT00178,Meena Verma,South,T-S3,T-S3-O2,2019-07-27,bancassurance,0
179,AGT00179,Shweta Menon,South,T-S3,T-S3-O2,2022-10-11,tied_agency,1
180,AGT00180,Vijay Patel,South,T-S3,T-S3-O2,2019-02-25,tied_agency,1
181,AGT00181,Jyoti Nair,South,T-S3,T-S3-O3,2020-01-05,tied_agency,1
182,AGT00182,Ramesh Rao,South,T-S3,T-S3-O3,2019-08-22,tied_agency,1
183,AGT00183,Suresh Verma,South,T-S3,T-S3-O3,2020-04-14,tied_agency,1
184,AGT00184,Nitin Rao,South,T-S3,T-S3-O3,2022-01-07,bancassurance,1
185,AGT00185,Ramesh Bose,South,T-S3,T-S3-O3,2019-03-17,tied_agency,1
186,AGT00186,Arun Verma,South,T-S3,T-S3-O3,2020-05-15,tied_agency,1
187,AGT00187,Ramesh Sharma,South,T-S3,T-S3-O3,2020-08-27,bancassurance,1
188,AGT00188,Manoj Agarwal,South,T-S3,T-S3-O3,2020-08-08,bancassurance,0
189,AGT00189,Priya Shah,South,T-S3,T-S3-O3,2019-06-01,bancassurance,1
190,AGT00190,Rohit Rao,East,T-E1,T-E1-O1,2022-03-09,tied_agency,1
191,AGT00191,Rekha Joshi,East,T-E1,T-E1-O1,2022-10-04,tied_agency,1
192,AGT00192,Nita Das,East,T-E1,T-E1-O1,2021-03-06,tied_agency,1
193,AGT00193,Jyoti Kumar,East,T-E1,T-E1-O1,2021-08-29,bancassurance,1
194,AGT00194,Vikas Rao,East,T-E1,T-E1-O1,2022-04-06,bancassurance,1
195,AGT00195,Meena Rao,East,T-E1,T-E1-O1,2020-01-25,bancassurance,1
196,AGT00196,Vikas Pandey,East,T-E1,T-E1-O1,2021-07-21,tied_agency,1
197,AGT00197,Sanjay Mehta,East,T-E1,T-E1-O1,2019-07-24,tied_agency,1
198,AGT00198,Asha Das,East,T-E1,T-E1-O1,2021-05-16,bancassurance,1
199,AGT00199,Rahul Reddy,East,T-E1,T-E1-O1,2020-01-28,bancassurance,1
200,AGT00200,Shweta Rao,East,T-E1,T-E1-O2,2019-08-18,tied_agency,1
